iter	Passed	Remaining
0	136	136007
1	136	68320
2	137	45780
3	138	34483
4	139	27723
5	140	23211
6	140	19967
7	141	17540
8	142	15653
9	142	14144
10	143	12910
11	144	11880
12	144	11008
13	145	10259
14	146	9610
15	146	9036
16	147	8531
17	148	8084
18	149	7705
19	149	7346
20	150	7021
21	151	6728
22	152	6462
23	152	6220
24	153	5992
25	154	5782
26	155	5594
27	156	5416
28	156	5250
29	157	5090
30	158	4941
31	158	4800
32	159	4669
33	159	4544
34	160	4427
35	161	4315
36	161	4210
37	162	4113
38	163	4020
39	163	3935
40	164	3854
41	165	3777
42	166	3704
43	167	3632
44	168	3568
45	169	3505
46	169	3440
47	170	3377
48	171	3319
49	171	3261
50	172	3206
51	172	3152
52	173	3100
53	174	3050
54	174	3002
55	175	2956
56	176	2912
57	176	2869
58	177	2827
59	178	2793
60	178	2754
61	179	2716
62	180	2681
63	180	2646
64	181	2616
65	182	2585
66	183	2554
67	184	2523
68	184	2494
69	185	2465
70	186	2437
71	187	2410
72	187	2383
73	188	2356
74	189	2331
75	189	2306
76	190	2283
77	191	2258
78	191	2235
79	192	2213
80	193	2194
81	194	2172
82	194	2147
83	195	2126
84	195	2106
85	196	2087
86	197	2067
87	197	2049
88	198	2031
89	199	2012
90	199	1994
91	200	1976
92	200	1959
93	201	1942
94	202	1925
95	202	1909
96	203	1892
97	203	1877
98	204	1861
99	205	1846
100	206	1834
101	206	1820
102	207	1807
103	208	1796
104	209	1782
105	209	1769
106	210	1756
107	211	1744
108	211	1731
109	212	1720
110	213	1709
111	214	1697
112	214	1686
113	215	1675
114	216	1665
115	217	1654
116	217	1642
117	218	1632
118	219	1621
119	219	1611
120	220	1601
121	221	1590
122	221	1581
123	222	1571
124	223	1562
125	224	1557
126	225	1548
127	225	1538
128	227	1533
129	227	1524
130	228	1515
131	229	1507
132	229	1499
133	230	1491
134	231	1482
135	232	1475
136	232	1466
137	233	1458
138	234	1451
139	235	1443
140	235	1436
141	236	1427
142	236	1419
143	237	1412
144	238	1406
145	239	1400
146	240	1393
147	240	1386
148	241	1380
149	242	1373
150	243	1368
151	244	1361
152	244	1354
153	245	1348
154	246	1341
155	246	1335
156	247	1328
157	248	1322
158	248	1316
159	249	1310
160	250	1303
161	250	1297
162	251	1292
163	252	1287
164	253	1281
165	254	1277
166	255	1271
167	255	1266
168	256	1261
169	257	1256
170	258	1252
171	259	1247
172	259	1241
173	260	1236
174	261	1231
175	261	1226
176	262	1221
177	263	1216
178	264	1211
179	264	1206
180	265	1201
181	266	1196
182	266	1191
183	267	1186
184	268	1181
185	269	1177
186	269	1173
187	270	1169
188	271	1164
189	272	1160
190	273	1157
191	273	1152
192	274	1148
193	275	1144
194	276	1139
195	276	1135
196	277	1131
197	278	1127
198	279	1123
199	279	1119
200	280	1114
201	281	1110
202	281	1106
203	282	1102
204	283	1098
205	284	1096
206	285	1093
207	286	1089
208	286	1085
209	287	1081
210	288	1077
211	288	1073
212	289	1069
213	290	1065
214	290	1061
215	291	1057
216	292	1054
217	292	1049
218	293	1046
219	294	1042
220	294	1038
221	295	1034
222	295	1031
223	296	1027
224	297	1023
225	297	1019
226	298	1016
227	299	1013
228	300	1011
229	301	1008
230	301	1005
231	302	1001
232	303	999
233	304	995
234	304	992
235	305	988
236	305	985
237	306	981
238	307	978
239	307	974
240	308	971
241	308	967
242	309	964
243	310	960
244	310	957
245	311	954
246	312	951
247	312	947
248	313	944
249	313	941
250	315	941
251	316	938
252	316	935
253	317	932
254	318	930
255	319	928
256	320	925
257	321	923
258	321	920
259	322	917
260	323	914
261	323	912
262	324	909
263	325	906
264	326	904
265	326	901
266	327	898
267	328	895
268	328	893
269	329	891
270	330	889
271	331	886
272	332	884
273	332	881
274	333	879
275	334	877
276	335	875
277	336	872
278	336	870
279	337	867
280	338	864
281	338	862
282	339	860
283	340	857
284	340	855
285	341	852
286	342	850
287	343	848
288	343	845
289	344	843
290	345	841
291	346	839
292	346	837
293	347	834
294	348	832
295	349	830
296	349	827
297	350	825
298	351	823
299	351	820
300	352	818
301	352	815
302	353	813
303	354	811
304	355	809
305	355	807
306	356	804
307	357	802
308	357	800
309	358	798
310	359	795
311	360	793
312	360	792
313	361	790
314	362	788
315	363	786
316	364	784
317	364	782
318	365	780
319	366	778
320	366	775
321	367	773
322	368	771
323	369	769
324	369	767
325	370	766
326	371	764
327	372	762
328	372	760
329	373	758
330	374	756
331	374	754
332	375	752
333	376	751
334	377	749
335	378	747
336	378	745
337	379	743
338	380	741
339	381	739
340	381	738
341	382	736
342	383	734
343	383	732
344	384	730
345	385	728
346	385	726
347	386	724
348	387	722
349	387	720
350	388	718
351	388	715
352	389	714
353	390	712
354	390	710
355	391	708
356	392	706
357	393	705
358	394	703
359	394	701
360	395	700
361	396	698
362	397	696
363	397	695
364	398	693
365	399	691
366	400	689
367	400	688
368	401	686
369	402	684
370	402	682
371	403	681
372	404	679
373	404	677
374	405	676
375	406	674
376	407	673
377	408	671
378	408	670
379	409	668
380	410	667
381	411	665
382	412	663
383	412	661
384	413	660
385	413	658
386	414	656
387	415	654
388	415	652
389	416	651
390	416	649
391	417	647
392	418	645
393	418	644
394	419	642
395	419	640
396	420	639
397	421	637
398	422	636
399	423	634
400	423	633
401	424	631
402	425	630
403	426	628
404	426	627
405	427	625
406	428	624
407	429	622
408	429	620
409	430	619
410	431	618
411	431	616
412	432	615
413	433	613
414	434	612
415	434	610
416	435	609
417	436	608
418	437	606
419	438	605
420	438	603
421	439	601
422	440	600
423	440	598
424	441	597
425	442	595
426	442	594
427	443	592
428	444	591
429	444	589
430	445	587
431	445	586
432	446	584
433	447	583
434	448	581
435	448	580
436	449	578
437	450	577
438	450	576
439	451	574
440	452	573
441	453	572
442	453	570
443	454	569
444	455	567
445	456	566
446	456	565
447	457	563
448	458	562
449	458	560
450	459	559
451	460	557
452	460	556
453	461	554
454	461	553
455	462	551
456	463	550
457	463	548
458	464	547
459	465	546
460	465	544
461	466	543
462	467	542
463	468	540
464	468	539
465	469	538
466	470	536
467	470	535
468	471	533
469	472	532
470	472	531
471	473	529
472	474	528
473	474	526
474	475	525
475	475	523
476	476	522
477	476	520
478	477	519
479	478	518
480	478	516
481	479	515
482	480	513
483	480	512
484	481	511
485	482	510
486	483	508
487	483	507
488	484	506
489	485	504
490	485	503
491	486	502
492	487	501
493	488	500
494	488	498
495	489	497
496	490	496
497	491	494
498	491	493
499	492	492
500	493	491
501	493	489
502	494	488
503	495	487
504	496	486
505	497	485
506	498	484
507	499	483
508	499	482
509	500	481
510	501	479
511	502	478
512	502	477
513	503	475
514	504	474
515	504	473
516	505	472
517	506	471
518	506	469
519	507	468
520	508	467
521	509	466
522	509	465
523	510	463
524	511	462
525	512	461
526	512	460
527	513	459
528	514	457
529	515	456
530	515	455
531	516	454
532	517	453
533	517	451
534	518	450
535	518	449
536	519	447
537	520	446
538	520	445
539	521	444
540	521	442
541	522	441
542	523	440
543	523	439
544	524	438
545	525	436
546	526	435
547	526	434
548	527	433
549	528	432
550	529	431
551	529	429
552	530	428
553	531	427
554	531	426
555	532	425
556	533	424
557	533	422
558	534	421
559	535	420
560	535	419
561	536	418
562	536	416
563	537	415
564	538	414
565	538	413
566	539	411
567	540	410
568	540	409
569	541	408
570	542	407
571	542	406
572	543	404
573	544	403
574	544	402
575	545	401
576	546	400
577	546	399
578	547	398
579	548	397
580	548	395
581	549	394
582	550	393
583	550	392
584	551	391
585	551	389
586	552	388
587	553	387
588	553	386
589	554	385
590	555	384
591	555	382
592	556	381
593	556	380
594	557	379
595	558	378
596	559	377
597	559	376
598	560	375
599	561	374
600	561	373
601	562	371
602	563	370
603	563	369
604	564	368
605	565	367
606	565	366
607	566	365
608	567	364
609	567	363
610	568	361
611	569	360
612	570	359
613	570	358
614	571	357
615	572	356
616	573	355
617	574	354
618	574	353
619	575	352
620	576	351
621	577	350
622	578	349
623	578	348
624	579	347
625	580	346
626	581	345
627	581	344
628	582	343
629	583	342
630	584	341
631	584	340
632	585	339
633	586	338
634	586	337
635	587	336
636	588	335
637	589	334
638	589	333
639	590	332
640	591	331
641	592	330
642	592	329
643	593	328
644	594	326
645	594	325
646	595	324
647	595	323
648	596	322
649	597	321
650	597	320
651	598	319
652	599	318
653	599	317
654	600	316
655	601	315
656	602	314
657	603	313
658	604	312
659	604	311
660	605	310
661	606	309
662	607	308
663	608	307
664	608	306
665	609	305
666	610	304
667	610	303
668	611	302
669	612	301
670	613	300
671	613	299
672	614	298
673	615	297
674	615	296
675	616	295
676	617	294
677	618	293
678	619	292
679	620	291
680	621	290
681	621	289
682	622	288
683	623	287
684	624	287
685	624	286
686	625	284
687	626	284
688	626	283
689	627	281
690	628	280
691	629	280
692	629	279
693	630	278
694	631	277
695	632	276
696	633	275
697	634	274
698	635	273
699	635	272
700	636	271
701	637	270
702	638	269
